sample_id,label,label_name,tsne_x,tsne_y,pca_x,pca_y
0,0,Bell,-10.335038185119629,-1.8534464836120605,5.570092153739226,2.381063949091261
1,0,Bell,-10.102392196655273,-1.3957592248916626,5.538006679057678,2.4274166622302347
2,0,Bell,-10.233091354370117,-1.3377690315246582,5.497690303180072,2.360162202725746
3,0,Bell,-11.149564743041992,-1.8602370023727417,5.693931014130301,2.368165183053234
4,0,Bell,-10.832140922546387,-1.0049781799316406,5.6895115885456615,2.3620933756475924
5,0,Bell,-10.907857894897461,-1.936068058013916,5.5602787063437615,2.3145002991899117
6,0,Bell,-10.903862953186035,-1.5498502254486084,5.713343960638265,2.4943702764268663
7,0,Bell,-10.69443130493164,-1.970849871635437,5.674834135922688,2.481259175465039
8,0,Bell,-10.92092227935791,-1.4103765487670898,5.68869115250518,2.431494337346524
9,0,Bell,-10.556842803955078,-2.031968355178833,5.732957677431383,2.5077602534430206
10,0,Bell,-10.972201347351074,-2.0120744705200195,5.669015918498772,2.47504613710427
11,0,Bell,-10.621299743652344,-1.4347959756851196,5.703458336776665,2.47269522737968
12,0,Bell,-11.028624534606934,-1.6981216669082642,5.6854160750623866,2.400560282468482
13,0,Bell,-11.186266899108887,-1.5738896131515503,5.8269179929166794,2.4758836175606933
14,0,Bell,-10.37918472290039,-1.9083455801010132,5.637772792368122,2.4385552745207204
15,0,Bell,-10.424378395080566,-1.087964653968811,5.707959847229351,2.484765021416656
16,0,Bell,-10.127038955688477,-1.834045648574829,5.616587557144028,2.5000202257846613
17,0,Bell,-10.127152442932129,-1.835336446762085,5.616312479288231,2.4922310552781908
18,0,Bell,-10.408738136291504,-1.9348589181900024,5.661453213565301,2.480121008948202
19,0,Bell,-10.398406982421875,-1.3992669582366943,5.5861415460436055,2.404640730801772
20,0,Bell,-10.876717567443848,-1.218239188194275,5.673433112429775,2.412401733184818
21,0,Bell,-10.204504013061523,-1.4877889156341553,5.577319210320799,2.428172005498834
22,0,Bell,-10.864839553833008,-1.225260853767395,5.700755346571581,2.417558882208773
23,0,Bell,-10.423033714294434,-1.0893783569335938,5.719829881310605,2.4943829173942853
24,0,Bell,-10.683560371398926,-2.040036678314209,5.675641420184837,2.443998526500573
25,1,GHZ,2.256823778152466,7.505718231201172,0.16136276883108247,-2.427389182918132
26,1,GHZ,2.363302707672119,7.468429088592529,0.12037475524504543,-2.4333599727186335
27,1,GHZ,1.6559877395629883,7.345729827880859,0.1731182409116431,-2.4163772206811824
28,1,GHZ,1.7746790647506714,7.441984176635742,0.12342186462122749,-2.439855939611853
29,1,GHZ,2.553340435028076,8.122413635253906,0.29591094323645345,-2.3799061928536562
30,1,GHZ,1.9715311527252197,8.196372032165527,0.3246587641721149,-2.3733654825077415
31,1,GHZ,2.0456879138946533,7.994687080383301,0.28833390154937644,-2.3996797538731376
32,1,GHZ,1.931275725364685,8.023127555847168,0.3213578410647052,-2.3963548622209063
33,1,GHZ,1.8394407033920288,7.102294445037842,0.09018708436312307,-2.4343433615586
34,1,GHZ,2.3829939365386963,7.626424312591553,0.1535521667901838,-2.408510549757753
35,1,GHZ,2.0321457386016846,7.585773468017578,0.1685834059812701,-2.4195937218983135
36,1,GHZ,1.3221832513809204,7.878262042999268,0.36989050817810665,-2.3780402377306604
37,1,GHZ,2.0319416522979736,7.191009521484375,0.10222912123670563,-2.448384221401626
38,1,GHZ,2.3881609439849854,7.7397685050964355,0.1719086639901122,-2.423865275968347
39,1,GHZ,1.9336265325546265,7.8427653312683105,0.2475262383441445,-2.39675987218126
40,1,GHZ,1.344649314880371,7.704421043395996,0.16506669137331328,-2.4324896646640033
41,1,GHZ,2.347593307495117,7.300586700439453,0.10199511799578234,-2.429617748452183
42,1,GHZ,1.6942218542099,7.511836528778076,0.20504983921080044,-2.400330121480654
43,1,GHZ,1.4834827184677124,7.825277328491211,0.3313676415217003,-2.3913868766413087
44,1,GHZ,1.8393491506576538,7.159936904907227,0.07788476914199437,-2.443138341900345
45,1,GHZ,1.6073678731918335,7.600531101226807,0.20978197776110527,-2.4139672916674284
46,1,GHZ,2.31011962890625,8.315979957580566,0.33305554427893996,-2.3622691373686138
47,1,GHZ,2.081252336502075,7.210475444793701,0.11374386075555377,-2.4157832704455107
48,1,GHZ,2.468564510345459,7.600725173950195,0.1312095508639019,-2.4096937948003676
49,1,GHZ,2.3871734142303467,7.018843173980713,-0.05005798092944807,-2.4617920706014145
50,2,W,6.75677490234375,-0.77568519115448,-5.298107955539607,2.897131283706423
51,2,W,7.131547927856445,-0.6224005222320557,-5.2787519919872885,2.9632032405713615
52,2,W,6.6120100021362305,-1.0992084741592407,-5.389240862855449,2.8498289782737247
53,2,W,7.066997528076172,-0.7812754511833191,-5.221980238494676,2.8835275675045784
54,2,W,7.297746658325195,-1.026979684829712,-5.270956639775685,2.952002099221813
55,2,W,6.946116924285889,-0.4612731337547302,-5.361695983389576,2.797826398763559
56,2,W,7.533097267150879,-1.011114239692688,-5.089431322653988,2.9540277952890137
57,2,W,6.71394157409668,-0.855804979801178,-5.365060577421545,2.888371922258555
58,2,W,7.333775520324707,-0.6192465424537659,-5.2227674295446285,2.8512271946670964
59,2,W,7.324263572692871,-0.7446433305740356,-5.2699568001923325,2.8227967352861216
60,2,W,6.469816207885742,-1.194351315498352,-5.1480241976155545,2.68891658572954
61,2,W,7.553725242614746,-1.1716586351394653,-5.275904781284184,2.9766978683693583
62,2,W,6.766740322113037,-1.4627147912979126,-5.045610739377512,2.903459455317929
63,2,W,7.280711650848389,-1.2530735731124878,-5.142986999123059,2.8958225272852536
64,2,W,7.056047439575195,-1.3385273218154907,-5.221978707734744,2.874163292973903
65,2,W,6.7378339767456055,-0.7227182984352112,-5.416709744436475,2.971396975808943
66,2,W,6.952970027923584,-1.7064708471298218,-5.22246326946529,2.921254340042377
67,2,W,6.615340709686279,-1.07578444480896,-5.202382259223038,2.772790762525623
68,2,W,6.737156391143799,-0.7569742798805237,-5.299508859308277,2.815211259003041
69,2,W,7.429327964782715,-1.1406272649765015,-5.1204949368480195,2.9580846199845436
70,2,W,7.425179958343506,-0.7159128785133362,-5.225512402988512,2.954663244537939
71,2,W,6.492450714111328,-1.4235107898712158,-5.108891224621821,2.876740333371229
72,2,W,6.781019687652588,-1.2997380495071411,-5.384730750936598,2.9464498624229316
73,2,W,7.113110065460205,-1.5388543605804443,-5.370076913616083,2.9625099143087836
74,2,W,7.000288963317871,-1.5659762620925903,-5.432326996917675,2.932618504259419
75,3,Product,0.5637080669403076,6.638926029205322,-0.10019707258525964,-2.6862530647859617
76,3,Product,2.9175055027008057,3.0197460651397705,-0.751234024625691,-3.4417054581755657
77,3,Product,3.2222630977630615,8.479022979736328,0.15415956048614965,-2.5301653736300005
78,3,Product,2.9339683055877686,2.9968271255493164,-0.8926382612233301,-3.503877833850229
79,3,Product,4.71633768081665,4.55533504486084,-0.9246792772033193,-3.162869538169936
80,3,Product,2.7204856872558594,4.617641448974609,-0.5775687302386028,-3.5449505576613105
81,3,Product,1.521536111831665,4.098844528198242,-0.9591918674142405,-2.7896203031006115
82,3,Product,0.9704812169075012,5.835378646850586,1.0483158692059913,-1.719185488045776
83,3,Product,1.5394271612167358,4.051806449890137,-1.0133460629551518,-2.891332361112166
84,3,Product,2.948744535446167,2.977931261062622,-1.0188718322835038,-3.5226147306705755
85,3,Product,2.715737819671631,4.60830020904541,-0.6918759031639063,-3.6925087518992865
86,3,Product,2.7303998470306396,4.62919282913208,-0.5413392761462666,-3.4473479232812316
87,3,Product,1.5407313108444214,4.040333271026611,-1.0202017038995603,-2.9223821605945184
